Id,PostTypeId,CreationDate,ViewCount,AnswerCount,FavoriteCount,Score,Tags
"92721","1","2021-04-07 20:11:39","35","1","1","1","<deep-learning><cnn><cross-validation>"
"92724","1","2021-04-07 20:33:18","713","1","","0","<finetuning><torchvision>"
"92730","1","2021-04-08 04:41:11","47","1","","-2","<python>"
"92731","1","2021-04-08 06:57:26","29","0","","1","<machine-learning><deep-learning><gpu>"
"92732","1","2021-04-08 07:51:18","35","0","","0","<clustering><image-classification><dbscan>"
"92733","1","2021-04-08 07:52:26","61","3","1","1","<machine-learning><deep-learning><time-series><preprocessing>"
"92734","1","2021-04-08 08:04:24","70","0","","0","<deep-learning><neural-network><transformer><attention-mechanism>"
"92735","1","2021-04-08 08:13:45","16","0","","0","<machine-learning><scikit-learn><predictive-modeling><xgboost><sagemaker>"
"92738","1","2021-04-08 08:28:48","17","0","1","0","<machine-learning><cnn><convolutional-neural-network>"
"92740","1","2021-04-08 10:23:13","32","1","","0","<nlp><word-embeddings><word2vec><ai><vector-space-models>"
"92744","1","2021-04-08 12:15:04","17","0","","0","<clustering><matlab><cloud>"
"92745","1","2021-04-08 12:17:39","27","0","","0","<machine-learning><data><bigdata><databases>"
"92748","1","2021-04-08 13:58:15","31","1","1","0","<neural-network><regression><deep-learning>"
"92750","1","2021-04-08 14:06:44","8","0","","0","<classification><random-forest><xgboost><recommender-system><auc>"
"92753","1","2021-04-08 15:53:16","18","1","","0","<machine-learning><deep-learning><information-extraction>"
"92754","1","2021-04-08 15:53:18","30","2","","1","<classification><sentiment-analysis><naive-bayes-classifier><text-classification>"
"92769","1","2021-04-08 20:10:20","30","0","","0","<deep-learning><neural-network><keras><regularization><batch-normalization>"
"92770","1","2021-04-08 20:32:42","104","1","","0","<deep-learning><cnn><convolutional-neural-network><convolution>"
"92771","1","2021-04-08 22:22:16","71","0","","0","<python><lda><score>"
"92776","1","2021-04-09 01:43:47","463","2","1","3","<classification><xgboost><class-imbalance><hyperparameter-tuning><bayesian>"
"92777","1","2021-04-09 02:08:48","9","0","","0","<machine-learning><deep-learning><tensorflow>"
"92779","1","2021-04-09 03:48:35","113","2","","2","<machine-learning><reinforcement-learning>"
"92783","1","2021-04-09 05:23:43","22","0","","0","<classification><tensorflow><cnn><binary>"
"92784","1","2021-04-09 05:50:10","56","0","","0","<reinforcement-learning><dqn><loss>"
"92785","1","2021-04-09 06:15:55","35","0","","0","<machine-learning><data><sql>"
"92787","1","2021-04-09 06:28:37","44","0","","0","<logistic-regression><dummy-variables>"
